order_id,customer_name,email,order_date,product_category,sales,state,month
843b801b-6203-43d0-8c5c-78e2823bc4df,Samantha Mendoza,jeanthompson@brown.com,2024-12-29,Electronics,494.11,Illinois,2024-12
16372f24-1824-440f-ab55-377119d36ffd,David Grant,billford@yahoo.com,2025-01-24,Home & Kitchen,493.24,Ohio,2025-01
b4e55678-38ec-4c71-b176-065c2e525e34,Nancy Henry,angela61@hotmail.com,2025-01-18,Home & Kitchen,492.87,Mississippi,2025-01
8b88918e-4904-42af-a4a4-dde1581ee5e7,Seth Dixon,castillotamara@yahoo.com,2025-03-06,Books,488.45,Kansas,2025-03
362bb8b0-0c71-4e15-a35e-73f823df2ef7,Jamie Lawrence,ndaugherty@hotmail.com,2025-01-27,Electronics,473.7,Arkansas,2025-01
e95b8844-529c-4a80-b30a-f824215a095f,Catherine Shaffer,andrea52@gmail.com,2025-02-16,Home & Kitchen,471.89,Utah,2025-02
1274ad1e-6a55-4af6-955b-26a8b5728277,Jennifer Taylor,patrick48@hotmail.com,2025-04-03,Clothing,470.01,Florida,2025-04
fb36b98c-e677-40c9-87f1-f6652407232c,Meagan Sanchez,holmesroberto@white-gross.org,2025-01-26,Home & Kitchen,466.59,Alaska,2025-01
c5892615-9273-4f1a-9fdd-e9bdbb9ce22f,Kari Jones,beltranjesse@gmail.com,2025-04-22,Books,466.2,Maryland,2025-04
fbca7a5e-e7f4-451c-97fe-d05d3e70db2f,David Green,thomasshelia@yahoo.com,2025-06-01,Electronics,452.49,South Carolina,2025-06
494d94e7-d66c-44a5-84a2-ffc1cfe542ec,Dr. Daniel Baker,debra98@maddox-thompson.com,2025-05-12,Books,445.17,Colorado,2025-05
6848a322-a231-418e-9ffb-92a77d09bb61,Aaron Anderson,tward@gmail.com,2025-01-06,Clothing,439.45,Arkansas,2025-01
921b6618-7393-4705-84ec-b864925dea41,Ashley White,belldeborah@wilkerson-fuentes.biz,2025-04-25,Home & Kitchen,438.96,Alaska,2025-04
a5b33b63-2e03-4ea5-92ae-3cc60a310428,Bruce Dudley,johnsonnicholas@hotmail.com,2025-05-31,Books,438.83,Oklahoma,2025-05
1ba36e61-1f4d-430b-a47b-054551df9878,Jennifer Blevins,ymartin@fuller-eaton.biz,2025-03-29,Home & Kitchen,437.07,Kentucky,2025-03
733c74ad-862e-4387-a057-0c1f58c6ad1b,Kenneth Wilson,,2025-01-09,Books,434.26,South Carolina,2025-01
